url,title,date,claim,rating,site
https://www.snopes.com/fact-check/biden-vice-president-pandemic/,Biden Said He Was Vice President 'During the Pandemic'?,2024-05-28T11:12:54Z,"U.S. President Joe Biden said in May 2024, ""When I was vice president, things were kinda bad during the pandemic.""",Correct Attribution,snopes
https://www.snopes.com/fact-check/biden-trump-bible-quote/,"Did Biden Say of the Bible, 'I Almost Wanted to Buy One Just to See What the Hell's in It'?",2024-04-26T14:17:13Z,"U.S. President Joe Biden said of the Bible, ""I almost wanted to buy one just to see what the hell's in it.""",Mixture,snopes
https://www.snopes.com/fact-check/biden-sheetz-woman-video/,Video Shows People Yelling Expletives at Biden in Sheetz Convenience Store?,2024-04-29T14:47:40Z,"In a video of U.S. President Joe Biden visiting a Sheetz convenience store in April 2024, people can be genuinely heard yelling expletives at him.",Fake,snopes
https://www.snopes.com/fact-check/biden-graduated-76th-syracuse/,Biden Finished 76th Academically in a Class of 85 at Syracuse University College of Law in 1968?,2024-04-27T06:00:04Z,Joe Biden graduated 76th academically in a class of 85 students at Syracuse University College of Law in 1968.,True,snopes
https://www.snopes.com/fact-check/joe-biden-least-popular-president/,Multiple Polls Say Biden Is Least Popular US President in 70 Years?,2024-05-08T16:00:17Z,Public opinion polls released in April 2024 found Joe Biden to be the least popular U.S. president in 70 years.,True,snopes
https://www.snopes.com/fact-check/biden-stroking-post/,Biden Posted 'I'm Stroking My [Expletive]' on Social Media?,2024-05-02T11:33:50Z,"U.S. President Joe Biden posted a picture of a notepad on X (formerly Twitter) reading, ""I'm stroking my s*** rn.""",Fake,snopes
https://www.snopes.com/fact-check/howard-stern-biden-interview-desegregation/,Biden Was Arrested as Kid While Standing with Black Family as White People Protested Desegregation?,2024-05-06T04:00:04Z,U.S. President Joe Biden was arrested as a kid while standing on a porch with a Black family as white people protested desegregation.,False,snopes
https://www.snopes.com/fact-check/israeli-minister-hamas-loving-biden/,Israeli National Security Minister Posted About Hamas Loving Biden?,2024-05-10T13:33:58Z,"On May 9, 2024, Israel’s National Security Minister Itamar Ben-Gvir posted on X, ""Hamas ❤️ Biden.""",Correct Attribution,snopes
https://www.snopes.com/fact-check/biden-inflation-rate-took-office/,Was Inflation Really 9% When Biden Became President?,2024-05-10T11:48:21Z,Inflation was at 9% when U.S. President Joe Biden took office in January 2021.,False,snopes
https://www.snopes.com/fact-check/biden-arrest-as-kid-black-family/,Biden Was Arrested as Kid While Standing with Black Family During Desegregation Protest?,2024-05-12T11:00:04Z,U.S. President Joe Biden was arrested as a kid while standing on a porch with a Black family as white people protested desegregation.,False,snopes
https://www.snopes.com/fact-check/morgan-freeman-trump-reelection/,Morgan Freeman Said He Thinks a 2nd Trump Presidency Would Be 'Good for the Country'?,2024-05-15T09:11:30Z,"Ahead of the 2024 U.S. presidential election, actor Morgan Freeman said or wrote that he thinks a second Donald Trump presidency would be ""good for the country.""",Unfounded,snopes
https://www.snopes.com/fact-check/harrison-butker-setting-record-straight/,Harrison Butker Said His Benedictine College Commencement Speech Taken 'Out of Context'?,2024-05-16T13:55:00Z,"Kansas City Chiefs kicker Harrison Butker said in a statement that his speech at a 2024 commencement at Benedictine College was taken ""out of context,"" adding in part, ""All I said is that we should go back to a better time, like the 50s and 60s.""",Originated as Satire,snopes
https://www.snopes.com/fact-check/harrison-butker-50s-60s/,"Harrison Butker Said, 'We Should Go Back To a Better Time, Like the '50s and '60s'?",2024-05-18T06:00:04Z,"Kansas City Chiefs kicker Harrison Butker said in a statement that his speech at a 2024 commencement at Benedictine College was taken ""out of context,"" adding in part, ""All I said is that we should go back to a better time, like the 50s and 60s.""",Originated as Satire,snopes
https://www.snopes.com/fact-check/trump-35-seconds-nra-speech/,Trump Stopped Speaking for 35 Seconds During NRA Speech?,2024-05-20T14:30:04Z,"Former U.S. President Donald Trump paused mid-speech for around 35 seconds while speaking at the National Rifle Association's annual meeting on May 18, 2024.",True,snopes
https://www.snopes.com/fact-check/tom-hanks-biden-shirt/,"Tom Hanks Wore T-Shirt with Slogan 'Vote For Joe, Not the Psycho'?",2024-05-21T12:15:00Z,"A photograph authentically showed Tom Hanks wearing a T-shirt that read, “Vote for Joe, Not the Psycho.”",Fake,snopes
https://www.snopes.com/fact-check/rudy-giuliani-daughter-trump/,"Rudy Giuliani's Daughter Urged People to Vote Biden, Called Trump Administration 'Toxic'?",2024-05-21T15:12:33Z,"Social media posts circulating in May 2024 show an authentic quote from Rudy Giuliani's daughter, who urged people to vote for Joe Biden, and called Donald Trump's administration ""toxic.""",Correct Attribution,snopes
https://www.snopes.com/fact-check/biden-truckers-likely-not-to-have-job/,"Biden Said Every Trucker 'Knows They're Likely Not To Have a Job in the Next 3, 4, 5 Years'?",2024-05-21T16:24:50Z,"U.S. President Joe Biden stated in a 2019 interview that ""Every trucker out there with an eighth grade education or a high school education knows they're likely not to have a job in the next three, four, five years.""",Correct Attribution,snopes
https://www.snopes.com/news/2024/03/14/biden-forget-when-son-died/,"Did Biden Really Forget When His Son, Beau, Died?",2024-03-14T15:40:15Z,,,snopes
