url,title,date,claim,rating,site
https://www.truthorfiction.com/meta-facebook-2024-election-disinformation-team-cuts/,Meta Layoffs Grease the Skids for Election Disinformation,2023-07-11T22:21:44+00:00,Meta has laid off workers specialized in identifying disinformation,True,truthorfiction
https://www.truthorfiction.com/republican-congressmans-hitler-newsletter-controversy/,Republican Congressman’s Hitler Newsletter Controversy,2023-07-25T22:22:00+00:00,"Rep. Paul Gosar published a newsletter on July 23 2023, and linked to a website encouraging visitors to “stand up for Hitler.”",,truthorfiction
https://www.truthorfiction.com/massachusetts-millionaires-tax-and-free-school-lunches/,Massachusetts Millionaires’ Tax and Free School Lunches,2023-08-14T20:34:34+00:00,“Massachusetts passed a 4% millionaire’s tax last year. Now every public school student is going to get free lunch.”,,truthorfiction
https://www.truthorfiction.com/desantis-florida-racist-shooting/,‘Your Policies Caused This’: DeSantis Heckled Trying to Appeal to Black Floridians,2023-08-28T22:26:36+00:00,DeSantis’ Policies Led to Racist Shooting,Unfounded,truthorfiction
https://www.truthorfiction.com/its-disability-pride-month-disabled-americans-cant-have-more-than-2000-in-money-and-assets-combined/,"‘It’s Disability Pride Month,’ Disabled Americans Can’t ‘Have More Than $2,000 in Money and Assets Combined’",2023-08-30T19:49:55+00:00,"“It’s disability pride month, and did you know disabled people in the US with Medicaid are not allowed to have more than",Decontextualized,truthorfiction
https://www.truthorfiction.com/homelessness-in-us-cities/,Homelessness in US Cities,2024-03-29T16:29:03+00:00,Democratic cities have higher rates of homelessness,Partly False,truthorfiction
https://www.truthorfiction.com/trump-iq-debate/,Trump IQ Debate,2024-03-29T20:50:08+00:00,Donald Trump’s IQ is 156,Unverifiable,truthorfiction
https://www.truthorfiction.com/new-york-state-governor-quote-on-jordan-neely-subway-homicide-theres-consequences-for-behavior/,"New York State Governor Quote on Jordan Neely, Subway Homicide: ‘There’s Consequences for Behavior’",2023-05-04T18:38:36+00:00,"When asked about the May 2023 death of Jordan Neely on a New York City Subway train, Gov. Kathy Hochul (D) said “there’s consequences for behavior.”",,truthorfiction
https://www.truthorfiction.com/juneteenth-greenville-banner/,Did a Banner for This Juneteenth Event Feature Two White People?,2023-05-30T16:20:29+00:00,A Juneteenth banner in South Carolina featured two white people.,,truthorfiction
https://www.truthorfiction.com/homeless-veterans-brian-maher-immigrants/,Anti-Immigrant Claims Involving Homeless ‘Veterans’ Fall Apart,2023-05-19T22:22:00+00:00,A group of homeless veterans were kicked out of a hotel to make room for asylum-seekers.,Not True,truthorfiction
https://www.truthorfiction.com/state-farm-no-longer-insuring-california-homes-insurance-industry-in-climate-crisis/,"State Farm No Longer Insuring California Homes, Insurance Industry in Climate Crisis",2023-05-30T21:59:50+00:00,"In May 2023, State Farm issued a statement indicating that it would no longer insure homes in California.",,truthorfiction
https://www.truthorfiction.com/house-speaker-kevin-mccarthy-a-child-that-has-no-job/,House Speaker Kevin McCarthy: ‘A Child That Has No Job’,2023-05-31T22:22:48+00:00,"In May 2023, House Speaker Kevin McCarthy said: “We might have a child that has no job, no dependents but sitting on the couch, we’re going to encourage that person to get a job and have to go to work, which gives them worth and value.”",,truthorfiction
https://www.truthorfiction.com/moms-4-liberty-extremists-proud-boys/,Researchers: Nazi-Quoting ‘Moms’ Have Forged Ties to Other Right-Wing Groups,2023-06-22T23:17:59+00:00,Moms for Liberty Has Ties to Other Right-Wing Groups,True,truthorfiction
https://www.truthorfiction.com/russia-ukraine-baby-factories/,Right-Wing Media Pushes Claims of Ukrainian ‘Baby Factories’,2023-06-29T19:06:58+00:00,Russian troops invading Ukraine have discovered “factories” harvesting minors for the purposes of sexual or organ-related trafficking.,Not True,truthorfiction
https://www.truthorfiction.com/us-pacific-fleet-russians-rfk-jr/,U.S. Navy Twitter Account Features Russian Ship on Independence Day Post,2023-07-05T23:21:35+00:00,U.S. Navy Posted a Picture of a Russian Ship for Independence Day,True,truthorfiction
https://www.truthorfiction.com/oklahoma-education-head-says-state-will-not-back-away-from-tulsa-race-massacre/,Oklahoma Education Head Says State Will Not Back Away From Tulsa Race Massacre,2023-07-07T21:54:18+00:00,Oklahoma Education Head Backs Away From Teaching Tulsa Race Massacre,Mostly True,truthorfiction
https://www.truthorfiction.com/florida-drivers-license-rhode-island-hawaii-vermont-connecticut/,Will Florida Refuse to Recognize Driver’s Licenses for Undocumented Immigrants?,2023-07-10T16:09:48+00:00,"Florida authorities will no longer recognize driver’s licenses created in five states — Connecticut, Delaware, Hawaii, Rhode Island, and Vermont — for undocumented residents.",,truthorfiction
https://www.truthorfiction.com/woke-free-tampons-and-period-poverty-in-the-united-states/,‘Woke Free Tampons’ and ‘Period Poverty’ in the United States,2023-04-06T20:48:16+00:00,"An Idaho politician labeled a measure to provide menstrual hygiene products in schools as “woke,” but research repeatedly demonstrated that “period poverty” keeps girls out of schools.",,truthorfiction
https://www.truthorfiction.com/clay-higgins-library-tweet/,Clay Higgins’ ‘Library’ Tweet,2023-04-13T18:24:05+00:00,"In March 2023, Rep. Clay Higgins tweeted: ” … We will change the whole public library paradigm. The libraries regular Americans recall are gone. They’ve become liberal grooming centers.”",,truthorfiction
https://www.truthorfiction.com/missouri-state-senator-on-12-year-old-marriage/,Missouri State Senator on ’12-Year-Old Marriage’,2023-04-13T19:59:30+00:00,"In April 2023, Missouri State Sen. Mike Moon (R) said: “Do you know any kids who have been married at age 12? I do. And guess what? They’re still married.”",,truthorfiction
